CENTRO_POBLADO;LATITUD;LONGITUD;3G;4G;VOZ;SMS;MMS;CANT_EB_3G;CANT_EB_4G
PIOGAN;-7.81792;-77.96113;0;1;1;1;0;0;0
PORVENIR;-7.83222;-77.94368;0;1;1;1;0;0;0
CONDORPINA;-7.84567;-77.94851;0;1;1;1;0;0;0
CHUGURBAMBA;-7.74436;-78.16664;1;0;1;1;0;0;0
MALCACHUGO;-7.75802;-78.14038;0;1;1;1;0;0;0
CHICHIPATA;-7.87502;-77.91789;1;0;1;1;0;0;0
MOYAN;-7.88055;-77.92163;0;1;1;1;0;0;0
SAN BERNARDO;-7.88643;-77.92725;0;1;1;1;0;0;0
EL POTRERO;-7.86365;-77.90811;1;0;1;1;0;0;0
MACHAY;-7.88749;-77.91716;0;1;1;1;0;0;0
SANTIAGO DE CHUCO;-8.14537;-78.17326;0;1;1;1;0;1;2
QUIRUVILCA;-8.00133;-78.30885;0;1;1;1;0;0;2
CASCAS;-7.47948;-78.81943;0;1;1;1;0;0;0
VIRU;-8.41432;-78.7522;0;1;1;1;0;1;4
CERRITO;-8.40294;-78.75971;1;0;1;1;0;0;0
LA GLORIA;-8.39969;-78.72908;1;0;1;1;0;0;0
EL SOCORRO;-8.40578;-78.73501;1;0;1;1;0;0;0
SAN IDELFONSO;-8.40152;-78.78043;0;0;1;1;0;0;0
VICTOR RAUL;-8.40513;-78.82272;0;1;1;1;0;0;1
SANTA MARIA;-8.41513;-78.79095;1;0;1;1;0;0;0
PUENTE VIRU;-8.42234;-78.78044;0;1;1;1;0;1;4
RAMAL CARTAVIO;-8.4316;-78.79728;1;0;1;1;0;0;0
SAUSALITO;-8.44555;-78.83661;1;0;1;1;0;0;0
HUANCAQUITO ALTO;-8.44766;-78.81849;1;0;1;1;0;0;0
CERRITO PI�A;-8.46299;-78.8305;0;0;1;1;0;0;0
LOS LAURELES;-8.46739;-78.85626;1;0;1;1;0;0;0
CAMPO NUEVO;-8.45403;-78.85324;1;0;1;1;0;0;0
CAMPI�A CHEQUEPE;-8.425;-78.74025;1;0;1;1;0;0;0
CAMPI�A CHOLOQUE;-8.42187;-78.75768;0;1;1;1;0;0;0
PORVENIR LA CA�A;-8.41568;-78.77235;0;1;1;1;0;0;0
PORTADA DE HUANCACO;-8.43226;-78.77547;1;0;1;1;0;0;0
CHAO;-8.53908;-78.67902;0;1;1;1;0;1;5
PALERMO;-8.48589;-78.62817;1;0;1;1;0;0;0
EL LUNAR;-8.49988;-78.65073;1;0;1;1;0;0;0
EL INCA;-8.51045;-78.6518;0;1;1;1;0;0;0
NUEVO CHAO;-8.51247;-78.68017;0;1;1;1;0;0;1
EL TIZAL;-8.57453;-78.71388;0;1;1;1;0;0;0
EL PROGRESO;-8.49031;-78.64347;1;0;1;1;0;0;0
EL CHE;-8.55622;-78.70362;0;0;1;1;0;0;0
